CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,,,
P605,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P606,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
P607,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
P608,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P609,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P610,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P611,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P612,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P613,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P614,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
P615,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,
P700,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P701,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P702,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P703,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P704,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P705,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,
P708,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P709,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P710,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P711,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P712,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P713,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P800,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P801,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P802,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P803,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P804,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
P808,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P809,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
P810,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,
P811,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
P812,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,
P813,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
P908,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
P909,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
PA00,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PA02,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,
PA03,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PA04,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
PA05,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,
PA06,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,
PA07,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,
PA08,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
PA10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PA11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
PA12,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
PA13,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
PA15,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,
PB00,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PB01,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,

